,0
0,0.1875
1,0.26171875
2,0.17578125
3,0.23046875
4,0.203125
5,0.1875
6,0.1875
7,0.14453125
8,0.1328125
9,0.125
10,0.203125
11,0.2265625
12,0.375
13,0.2265625
14,0.25390625
15,0.20703125
16,0.1015625
17,0.1015625
18,0.15234375
19,0.1015625
20,0.12890625
21,0.20703125
22,0.1328125
23,0.20703125
24,0.23046875
25,0.109375
26,0.20703125
27,0.2109375
28,0.2109375
29,0.2109375
30,0.0859375
31,0.203125
32,0.16796875
33,0.20703125
34,0.3515625
35,0.203125
36,0.32421875
37,0.3515625
38,0.295833333333333
39,0.252083333333333
40,0.335416666666667
41,0.108333333333333
42,0.116666666666667
43,0.09375
44,0.0979166666666667
45,0.13125
46,0.10625
47,0.172916666666667
48,0.177083333333333
49,0.2125
50,0.15
51,0.108333333333333
52,0.0270833333333333
53,0.13125
54,0.14375
55,0.41796875
56,0.18359375
57,0.53125
58,0.58984375
59,0.48828125
60,0.54296875
61,0.48828125
62,0.5078125
63,0.52734375
64,0.5234375
65,0.52734375
66,0.16796875
67,0.12109375
68,0.203125
69,0.140625
70,0.1484375
71,0.25390625
72,0.189583333333333
73,0.214583333333333
74,0.239583333333333
75,0.245833333333333
76,0.270833333333333
77,0.24375
78,0.241666666666667
79,0.241666666666667
80,0.24375
81,0.241666666666667
82,0.20625
83,0.239583333333333
84,0.239583333333333
85,0.24375
86,0.266666666666667
87,0.220833333333333
88,0.225
89,0.2625
90,0.258333333333333
91,0.266666666666667
92,0.183333333333333
93,0.189583333333333
94,0.185416666666667
95,0.177083333333333
96,0.07421875
97,0.203125
98,0.19140625
99,0.234375
100,0.2421875
101,0.17578125
102,0.1796875
103,0.1640625
104,0.19921875
105,0.20703125
106,0.23828125
107,0.1953125
108,0.21875
109,0.21875
110,0.2265625
111,0.12890625
112,0.3203125
113,0.32421875
114,0.31640625
115,0.3203125
116,0.21875
117,0.22265625
118,0.21875
119,0.18359375
120,0.1875
121,0.20703125
122,0.203125
123,0.19921875
124,0.33984375
125,0.25390625
126,0.41796875
