,mean_vs,gaps,percentile,ci_low,ci_up
0,0.12818466347869087,3.0,0.3108582172843123,0.09405484136639779,0.17216843252817499
1,0.18034392031344043,4.0,0.3191599768233997,0.15403156783333374,0.21176623303281386
2,0.28389807771616693,5.0,0.3292595578906501,0.23895372992850844,0.3300757322571514
3,0.3732103138596982,6.0,0.30977410456775867,0.3154406388819346,0.4290438866489836
4,0.42991821344108144,7.0,0.30237029953778954,0.37070488765846743,0.4875409640752645
5,0.5169201225076459,8.0,0.3345625370401397,0.47197250904580806,0.5639084790852621
6,0.5062145309894851,9.0,0.3649311411589923,0.4490806292377925,0.5691470788560693
7,0.5579095054060763,10.0,0.31384061630865645,0.5286270309945315,0.5887244187361815
8,0.5356690769230453,11.0,0.29824952899654206,0.4871282152201618,0.5899163001940094
9,0.5652933882641893,12.0,0.31152143284257605,0.507159894192452,0.6204742138603152
10,0.5572182343067301,13.0,0.3038401918328421,0.5286911460937177,0.5989017599570996
11,0.6117467708644502,14.0,0.34693181595476347,0.5636350489309581,0.6523999859409715
12,0.6155260408122916,15.0,0.2865995963882947,0.5752252924207296,0.6553495374650024
13,0.5876047458469676,16.0,0.3273562115797969,0.5500479296108265,0.6344103431615369
14,0.5964975352050144,17.0,0.35272173432265364,0.5472853238729902,0.6466768814949095
15,0.6004418175318272,20.0,0.28787009248787204,0.5309025907890035,0.6727572539748327
