,mean_vs,gaps,percentile,ci_low,ci_up
0,0.13241151519558683,3.0,0.3594338320878075,0.11156819753068133,0.15694044007686042
1,0.20428245349231824,4.0,0.33340635290836035,0.13479156366161432,0.2387672771215527
2,0.25580144924065645,5.0,0.31919032292516636,0.20870958644123755,0.298492507014409
3,0.3903351253822801,6.0,0.29818487014435757,0.33817307089293225,0.44656212204986745
4,0.41092840816181886,7.0,0.332891256897604,0.3661167458645233,0.4536559485083796
5,0.4791966855975879,8.0,0.307273702927309,0.4445395021048694,0.5179138274013554
6,0.5139576434752658,9.0,0.29673153746391706,0.4789533432957358,0.5520650431742579
7,0.5304912896558297,10.0,0.34585555872994383,0.5054586473145201,0.5530457326191641
8,0.5578863582523191,11.0,0.320822289754154,0.5305769784939919,0.5858371168831286
9,0.5707409389610594,12.0,0.30890930418592044,0.5273044856583878,0.6101154661188692
10,0.5519287077015064,13.0,0.342144264592416,0.5140950646980402,0.6016538448659203
11,0.5332346051509091,14.0,0.3278661340629192,0.49657385892620814,0.5642728323877084
12,0.4818562978926232,15.0,0.35285408552081376,0.45940551949333047,0.512295627401276
13,0.48161983933975666,16.0,0.3194416144066506,0.45649631741706553,0.5055657093206952
14,0.5049699364631234,17.0,0.3647554013118859,0.49094764405461233,0.5246165828319341
15,0.47081633907248027,20.0,0.38635769130620606,0.4448411719658378,0.48880790042755484
