,mean_vs,gaps,percentile,ci_low,ci_up
0,0.18693423688055688,3.0,0.3340387965606982,0.142447453719087,0.2277647752568888
1,0.2599109853969468,4.0,0.31238837683544,0.2203250035540572,0.3045631544178461
2,0.42665112708885466,5.0,0.3549359919372473,0.4004607920527486,0.45194479174563884
3,0.48917050349545327,6.0,0.35022991046704993,0.43045220663906936,0.5497898603283105
4,0.6081663119914029,7.0,0.29813996199055776,0.5661199241162672,0.659420000041925
5,0.6784405486557894,8.0,0.31346462588131146,0.6430076664097477,0.720701458393785
6,0.721934483250249,9.0,0.3560512552056619,0.6774483090633313,0.775463605267745
7,0.773619949491715,10.0,0.2984961435722967,0.7380849251342102,0.8127057246806507
8,0.7068584032418767,11.0,0.32154563101257705,0.6677154893772439,0.7454445998464623
9,0.8101264802896925,12.0,0.32468799975032564,0.7771866712563298,0.8568458752449252
10,0.7611611619234137,13.0,0.35409262256792884,0.7244775209110534,0.7964246026172527
11,0.7839634880084977,14.0,0.30751934932167435,0.7466128628017836,0.8213350985195916
12,0.7461409199211366,15.0,0.3184796894602705,0.6883520700589754,0.82457855477058
13,0.7758131352346354,16.0,0.3335868847919268,0.7381056372463372,0.8166163120015199
14,0.7342310574458827,17.0,0.30175454610132807,0.6868930438719612,0.773844495131798
15,0.7115277726980109,20.0,0.36447109387540105,0.6639147139848486,0.75410633136342
