,mean_vs,gaps,percentile,ci_low,ci_up
0,0.6906907824930874,20.0,0.25765717999630766,0.6351323990748766,0.7629127303413821
1,0.6783079080070711,15.0,0.30977507689846484,0.6284509787550604,0.7214072352313655
2,0.6781270045014691,14.0,0.28074406302613986,0.6452415581118437,0.7140546064748172
3,0.6607357427389089,13.0,0.26562974487097135,0.6122775541027767,0.7192603538538135
4,0.6957486389242332,12.0,0.25796709056965,0.649729266061497,0.7310770824289669
5,0.6592583532646119,11.0,0.3032981511511461,0.6193375532960982,0.7075549946677079
6,0.6378889441675443,10.0,0.30576385525423133,0.5817827343524118,0.6877609515649165
7,0.564057949690176,9.0,0.31037122905891135,0.5172545417513355,0.5973757322190838
8,0.48874451882993714,8.0,0.2718331536605185,0.4437091493397485,0.5308467907973602
9,0.37061348302233665,7.0,0.29326977155072964,0.32425412851465163,0.43092842428484635
10,0.2824219328501931,6.0,0.29049833538972947,0.25232183414592,0.32530108908779054
11,0.6100166373349197,5.0,0.3051967522416297,0.540661359252318,0.679013452465981
12,0.16256079437158874,4.0,0.27998159059665223,0.1393235793349541,0.19009166035195543
13,0.11484432321112108,3.0,0.3029795861706874,0.07500728083254346,0.15321998518702468
14,0.08067819507563137,2.0,0.2585567190915236,0.06079195568371609,0.09929371479983341
15,0.08444114717584697,1.0,0.26798974664146036,0.05913523828513653,0.10623648311738597
16,0.06862303502677072,0.0,0.28629664202619864,0.049022334166959454,0.09489183243342238
