,mean_vs,gaps,percentile,ci_low,ci_up
0,0.7258784045484691,20.0,0.31688074161368596,0.6951398256184438,0.7570129557317516
1,0.7294098605753105,15.0,0.25765717999630766,0.7200402610973688,0.7381208474394151
2,0.7293585857577561,14.0,0.2702364431021688,0.7114128332009805,0.7444764112960512
3,0.725558233275543,13.0,0.2622158741245236,0.711381849492297,0.7364839500303766
4,0.70501192140735,12.0,0.304495280504332,0.6919503246709224,0.7213021367382668
5,0.6780621348535877,11.0,0.26965664895424696,0.6607582204656222,0.6987320022706247
6,0.6566565372306804,10.0,0.30977507689846484,0.633649183334923,0.689854692515309
7,0.6125335337323399,9.0,0.28074406302613986,0.5982743136969874,0.6301268019231909
8,0.5960676520426329,8.0,0.26562974487097135,0.5742664117909136,0.6191227770604781
9,0.5330245551445827,7.0,0.25796709056965,0.5131376914328984,0.569218420065014
10,0.4715912995391896,6.0,0.3032981511511461,0.4158057414558634,0.5519658321423386
11,0.493566469210043,5.0,0.30576385525423133,0.4425951936627445,0.5303148727109462
12,0.4983470670497494,4.0,0.31037122905891135,0.4649447442272064,0.5314164646665145
13,0.42160270461274174,3.0,0.2718331536605185,0.38243156289831914,0.46329777658325777
14,0.38158331514452987,2.0,0.29326977155072964,0.34732737386610923,0.4290091478362261
15,0.290460518104222,1.0,0.29049833538972947,0.24965758034565003,0.3319496026684912
16,0.08233262630675207,0.0,0.28629664202619864,0.06560599464412847,0.09788740072921252
