,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128
0,0.0,0.9765625,1.953125,2.9296875,3.90625,4.8828125,5.859375,6.8359375,7.8125,8.7890625,9.765625,10.7421875,11.71875,12.6953125,13.671875,14.6484375,15.625,16.6015625,17.578125,18.5546875,19.53125,20.5078125,21.484375,22.4609375,23.4375,24.4140625,25.390625,26.3671875,27.34375,28.3203125,29.296875,30.2734375,31.25,32.2265625,33.203125,34.1796875,35.15625,36.1328125,37.109375,38.0859375,39.0625,40.0390625,41.015625,41.9921875,42.96875,43.9453125,44.921875,45.8984375,46.875,47.8515625,48.828125,49.8046875,50.78125,51.7578125,52.734375,53.7109375,54.6875,55.6640625,56.640625,57.6171875,58.59375,59.5703125,60.546875,61.5234375,62.5,63.4765625,64.453125,65.4296875,66.40625,67.3828125,68.359375,69.3359375,70.3125,71.2890625,72.265625,73.2421875,74.21875,75.1953125,76.171875,77.1484375,78.125,79.1015625,80.078125,81.0546875,82.03125,83.0078125,83.984375,84.9609375,85.9375,86.9140625,87.890625,88.8671875,89.84375,90.8203125,91.796875,92.7734375,93.75,94.7265625,95.703125,96.6796875,97.65625,98.6328125,99.609375,100.5859375,101.5625,102.5390625,103.515625,104.4921875,105.46875,106.4453125,107.421875,108.3984375,109.375,110.3515625,111.328125,112.3046875,113.28125,114.2578125,115.234375,116.2109375,117.1875,118.1640625,119.140625,120.1171875,121.09375,122.0703125,123.046875,124.0234375,125.0
1,0.0,0.9765625,1.953125,2.9296875,3.90625,4.8828125,5.859375,6.8359375,7.8125,8.7890625,9.765625,10.7421875,11.71875,12.6953125,13.671875,14.6484375,15.625,16.6015625,17.578125,18.5546875,19.53125,20.5078125,21.484375,22.4609375,23.4375,24.4140625,25.390625,26.3671875,27.34375,28.3203125,29.296875,30.2734375,31.25,32.2265625,33.203125,34.1796875,35.15625,36.1328125,37.109375,38.0859375,39.0625,40.0390625,41.015625,41.9921875,42.96875,43.9453125,44.921875,45.8984375,46.875,47.8515625,48.828125,49.8046875,50.78125,51.7578125,52.734375,53.7109375,54.6875,55.6640625,56.640625,57.6171875,58.59375,59.5703125,60.546875,61.5234375,62.5,63.4765625,64.453125,65.4296875,66.40625,67.3828125,68.359375,69.3359375,70.3125,71.2890625,72.265625,73.2421875,74.21875,75.1953125,76.171875,77.1484375,78.125,79.1015625,80.078125,81.0546875,82.03125,83.0078125,83.984375,84.9609375,85.9375,86.9140625,87.890625,88.8671875,89.84375,90.8203125,91.796875,92.7734375,93.75,94.7265625,95.703125,96.6796875,97.65625,98.6328125,99.609375,100.5859375,101.5625,102.5390625,103.515625,104.4921875,105.46875,106.4453125,107.421875,108.3984375,109.375,110.3515625,111.328125,112.3046875,113.28125,114.2578125,115.234375,116.2109375,117.1875,118.1640625,119.140625,120.1171875,121.09375,122.0703125,123.046875,124.0234375,125.0
2,0.0,0.9765625,1.953125,2.9296875,3.90625,4.8828125,5.859375,6.8359375,7.8125,8.7890625,9.765625,10.7421875,11.71875,12.6953125,13.671875,14.6484375,15.625,16.6015625,17.578125,18.5546875,19.53125,20.5078125,21.484375,22.4609375,23.4375,24.4140625,25.390625,26.3671875,27.34375,28.3203125,29.296875,30.2734375,31.25,32.2265625,33.203125,34.1796875,35.15625,36.1328125,37.109375,38.0859375,39.0625,40.0390625,41.015625,41.9921875,42.96875,43.9453125,44.921875,45.8984375,46.875,47.8515625,48.828125,49.8046875,50.78125,51.7578125,52.734375,53.7109375,54.6875,55.6640625,56.640625,57.6171875,58.59375,59.5703125,60.546875,61.5234375,62.5,63.4765625,64.453125,65.4296875,66.40625,67.3828125,68.359375,69.3359375,70.3125,71.2890625,72.265625,73.2421875,74.21875,75.1953125,76.171875,77.1484375,78.125,79.1015625,80.078125,81.0546875,82.03125,83.0078125,83.984375,84.9609375,85.9375,86.9140625,87.890625,88.8671875,89.84375,90.8203125,91.796875,92.7734375,93.75,94.7265625,95.703125,96.6796875,97.65625,98.6328125,99.609375,100.5859375,101.5625,102.5390625,103.515625,104.4921875,105.46875,106.4453125,107.421875,108.3984375,109.375,110.3515625,111.328125,112.3046875,113.28125,114.2578125,115.234375,116.2109375,117.1875,118.1640625,119.140625,120.1171875,121.09375,122.0703125,123.046875,124.0234375,125.0
3,0.0,0.9765625,1.953125,2.9296875,3.90625,4.8828125,5.859375,6.8359375,7.8125,8.7890625,9.765625,10.7421875,11.71875,12.6953125,13.671875,14.6484375,15.625,16.6015625,17.578125,18.5546875,19.53125,20.5078125,21.484375,22.4609375,23.4375,24.4140625,25.390625,26.3671875,27.34375,28.3203125,29.296875,30.2734375,31.25,32.2265625,33.203125,34.1796875,35.15625,36.1328125,37.109375,38.0859375,39.0625,40.0390625,41.015625,41.9921875,42.96875,43.9453125,44.921875,45.8984375,46.875,47.8515625,48.828125,49.8046875,50.78125,51.7578125,52.734375,53.7109375,54.6875,55.6640625,56.640625,57.6171875,58.59375,59.5703125,60.546875,61.5234375,62.5,63.4765625,64.453125,65.4296875,66.40625,67.3828125,68.359375,69.3359375,70.3125,71.2890625,72.265625,73.2421875,74.21875,75.1953125,76.171875,77.1484375,78.125,79.1015625,80.078125,81.0546875,82.03125,83.0078125,83.984375,84.9609375,85.9375,86.9140625,87.890625,88.8671875,89.84375,90.8203125,91.796875,92.7734375,93.75,94.7265625,95.703125,96.6796875,97.65625,98.6328125,99.609375,100.5859375,101.5625,102.5390625,103.515625,104.4921875,105.46875,106.4453125,107.421875,108.3984375,109.375,110.3515625,111.328125,112.3046875,113.28125,114.2578125,115.234375,116.2109375,117.1875,118.1640625,119.140625,120.1171875,121.09375,122.0703125,123.046875,124.0234375,125.0
4,0.0,1.46484375,2.9296875,4.39453125,5.859375,7.32421875,8.7890625,10.25390625,11.71875,13.18359375,14.6484375,16.11328125,17.578125,19.04296875,20.5078125,21.97265625,23.4375,24.90234375,26.3671875,27.83203125,29.296875,30.76171875,32.2265625,33.69140625,35.15625,36.62109375,38.0859375,39.55078125,41.015625,42.48046875,43.9453125,45.41015625,46.875,48.33984375,49.8046875,51.26953125,52.734375,54.19921875,55.6640625,57.12890625,58.59375,60.05859375,61.5234375,62.98828125,64.453125,65.91796875,67.3828125,68.84765625,70.3125,71.77734375,73.2421875,74.70703125,76.171875,77.63671875,79.1015625,80.56640625,82.03125,83.49609375,84.9609375,86.42578125,87.890625,89.35546875,90.8203125,92.28515625,93.75,95.21484375,96.6796875,98.14453125,99.609375,101.07421875,102.5390625,104.00390625,105.46875,106.93359375,108.3984375,109.86328125,111.328125,112.79296875,114.2578125,115.72265625,117.1875,118.65234375,120.1171875,121.58203125,123.046875,124.51171875,125.9765625,127.44140625,128.90625,130.37109375,131.8359375,133.30078125,134.765625,136.23046875,137.6953125,139.16015625,140.625,142.08984375,143.5546875,145.01953125,146.484375,147.94921875,149.4140625,150.87890625,152.34375,153.80859375,155.2734375,156.73828125,158.203125,159.66796875,161.1328125,162.59765625,164.0625,165.52734375,166.9921875,168.45703125,169.921875,171.38671875,172.8515625,174.31640625,175.78125,177.24609375,178.7109375,180.17578125,181.640625,183.10546875,184.5703125,186.03515625,187.5
5,0.0,0.9765625,1.953125,2.9296875,3.90625,4.8828125,5.859375,6.8359375,7.8125,8.7890625,9.765625,10.7421875,11.71875,12.6953125,13.671875,14.6484375,15.625,16.6015625,17.578125,18.5546875,19.53125,20.5078125,21.484375,22.4609375,23.4375,24.4140625,25.390625,26.3671875,27.34375,28.3203125,29.296875,30.2734375,31.25,32.2265625,33.203125,34.1796875,35.15625,36.1328125,37.109375,38.0859375,39.0625,40.0390625,41.015625,41.9921875,42.96875,43.9453125,44.921875,45.8984375,46.875,47.8515625,48.828125,49.8046875,50.78125,51.7578125,52.734375,53.7109375,54.6875,55.6640625,56.640625,57.6171875,58.59375,59.5703125,60.546875,61.5234375,62.5,63.4765625,64.453125,65.4296875,66.40625,67.3828125,68.359375,69.3359375,70.3125,71.2890625,72.265625,73.2421875,74.21875,75.1953125,76.171875,77.1484375,78.125,79.1015625,80.078125,81.0546875,82.03125,83.0078125,83.984375,84.9609375,85.9375,86.9140625,87.890625,88.8671875,89.84375,90.8203125,91.796875,92.7734375,93.75,94.7265625,95.703125,96.6796875,97.65625,98.6328125,99.609375,100.5859375,101.5625,102.5390625,103.515625,104.4921875,105.46875,106.4453125,107.421875,108.3984375,109.375,110.3515625,111.328125,112.3046875,113.28125,114.2578125,115.234375,116.2109375,117.1875,118.1640625,119.140625,120.1171875,121.09375,122.0703125,123.046875,124.0234375,125.0
6,0.0,0.9765625,1.953125,2.9296875,3.90625,4.8828125,5.859375,6.8359375,7.8125,8.7890625,9.765625,10.7421875,11.71875,12.6953125,13.671875,14.6484375,15.625,16.6015625,17.578125,18.5546875,19.53125,20.5078125,21.484375,22.4609375,23.4375,24.4140625,25.390625,26.3671875,27.34375,28.3203125,29.296875,30.2734375,31.25,32.2265625,33.203125,34.1796875,35.15625,36.1328125,37.109375,38.0859375,39.0625,40.0390625,41.015625,41.9921875,42.96875,43.9453125,44.921875,45.8984375,46.875,47.8515625,48.828125,49.8046875,50.78125,51.7578125,52.734375,53.7109375,54.6875,55.6640625,56.640625,57.6171875,58.59375,59.5703125,60.546875,61.5234375,62.5,63.4765625,64.453125,65.4296875,66.40625,67.3828125,68.359375,69.3359375,70.3125,71.2890625,72.265625,73.2421875,74.21875,75.1953125,76.171875,77.1484375,78.125,79.1015625,80.078125,81.0546875,82.03125,83.0078125,83.984375,84.9609375,85.9375,86.9140625,87.890625,88.8671875,89.84375,90.8203125,91.796875,92.7734375,93.75,94.7265625,95.703125,96.6796875,97.65625,98.6328125,99.609375,100.5859375,101.5625,102.5390625,103.515625,104.4921875,105.46875,106.4453125,107.421875,108.3984375,109.375,110.3515625,111.328125,112.3046875,113.28125,114.2578125,115.234375,116.2109375,117.1875,118.1640625,119.140625,120.1171875,121.09375,122.0703125,123.046875,124.0234375,125.0
7,0.0,0.9765625,1.953125,2.9296875,3.90625,4.8828125,5.859375,6.8359375,7.8125,8.7890625,9.765625,10.7421875,11.71875,12.6953125,13.671875,14.6484375,15.625,16.6015625,17.578125,18.5546875,19.53125,20.5078125,21.484375,22.4609375,23.4375,24.4140625,25.390625,26.3671875,27.34375,28.3203125,29.296875,30.2734375,31.25,32.2265625,33.203125,34.1796875,35.15625,36.1328125,37.109375,38.0859375,39.0625,40.0390625,41.015625,41.9921875,42.96875,43.9453125,44.921875,45.8984375,46.875,47.8515625,48.828125,49.8046875,50.78125,51.7578125,52.734375,53.7109375,54.6875,55.6640625,56.640625,57.6171875,58.59375,59.5703125,60.546875,61.5234375,62.5,63.4765625,64.453125,65.4296875,66.40625,67.3828125,68.359375,69.3359375,70.3125,71.2890625,72.265625,73.2421875,74.21875,75.1953125,76.171875,77.1484375,78.125,79.1015625,80.078125,81.0546875,82.03125,83.0078125,83.984375,84.9609375,85.9375,86.9140625,87.890625,88.8671875,89.84375,90.8203125,91.796875,92.7734375,93.75,94.7265625,95.703125,96.6796875,97.65625,98.6328125,99.609375,100.5859375,101.5625,102.5390625,103.515625,104.4921875,105.46875,106.4453125,107.421875,108.3984375,109.375,110.3515625,111.328125,112.3046875,113.28125,114.2578125,115.234375,116.2109375,117.1875,118.1640625,119.140625,120.1171875,121.09375,122.0703125,123.046875,124.0234375,125.0
8,0.0,0.7812499999999999,1.5624999999999998,2.3437499999999996,3.1249999999999996,3.9062499999999996,4.687499999999999,5.468749999999999,6.249999999999999,7.031249999999999,7.812499999999999,8.593749999999998,9.374999999999998,10.156249999999998,10.937499999999998,11.718749999999998,12.499999999999998,13.281249999999998,14.062499999999998,14.843749999999998,15.624999999999998,16.406249999999996,17.187499999999996,17.968749999999996,18.749999999999996,19.531249999999996,20.312499999999996,21.093749999999996,21.874999999999996,22.656249999999996,23.437499999999996,24.218749999999996,24.999999999999996,25.781249999999996,26.562499999999996,27.343749999999996,28.124999999999996,28.906249999999996,29.687499999999996,30.468749999999996,31.249999999999996,32.03124999999999,32.81249999999999,33.59374999999999,34.37499999999999,35.15624999999999,35.93749999999999,36.71874999999999,37.49999999999999,38.28124999999999,39.06249999999999,39.84374999999999,40.62499999999999,41.40624999999999,42.18749999999999,42.96874999999999,43.74999999999999,44.53124999999999,45.31249999999999,46.09374999999999,46.87499999999999,47.65624999999999,48.43749999999999,49.21874999999999,49.99999999999999,50.78124999999999,51.56249999999999,52.34374999999999,53.12499999999999,53.90624999999999,54.68749999999999,55.46874999999999,56.24999999999999,57.03124999999999,57.81249999999999,58.59374999999999,59.37499999999999,60.15624999999999,60.93749999999999,61.71874999999999,62.49999999999999,63.28124999999999,64.06249999999999,64.84374999999999,65.62499999999999,66.40624999999999,67.18749999999999,67.96874999999999,68.74999999999999,69.53124999999999,70.31249999999999,71.09374999999999,71.87499999999999,72.65624999999999,73.43749999999999,74.21874999999999,74.99999999999999,75.78124999999999,76.56249999999999,77.34374999999999,78.12499999999999,78.90624999999999,79.68749999999999,80.46874999999999,81.24999999999999,82.03124999999999,82.81249999999999,83.59374999999999,84.37499999999999,85.15624999999999,85.93749999999999,86.71874999999999,87.49999999999999,88.28124999999999,89.06249999999999,89.84374999999999,90.62499999999999,91.40624999999999,92.18749999999999,92.96874999999999,93.74999999999999,94.53124999999999,95.31249999999999,96.09374999999999,96.87499999999999,97.65624999999999,98.43749999999999,99.21874999999999,99.99999999999999
9,0.0,1.46484375,2.9296875,4.39453125,5.859375,7.32421875,8.7890625,10.25390625,11.71875,13.18359375,14.6484375,16.11328125,17.578125,19.04296875,20.5078125,21.97265625,23.4375,24.90234375,26.3671875,27.83203125,29.296875,30.76171875,32.2265625,33.69140625,35.15625,36.62109375,38.0859375,39.55078125,41.015625,42.48046875,43.9453125,45.41015625,46.875,48.33984375,49.8046875,51.26953125,52.734375,54.19921875,55.6640625,57.12890625,58.59375,60.05859375,61.5234375,62.98828125,64.453125,65.91796875,67.3828125,68.84765625,70.3125,71.77734375,73.2421875,74.70703125,76.171875,77.63671875,79.1015625,80.56640625,82.03125,83.49609375,84.9609375,86.42578125,87.890625,89.35546875,90.8203125,92.28515625,93.75,95.21484375,96.6796875,98.14453125,99.609375,101.07421875,102.5390625,104.00390625,105.46875,106.93359375,108.3984375,109.86328125,111.328125,112.79296875,114.2578125,115.72265625,117.1875,118.65234375,120.1171875,121.58203125,123.046875,124.51171875,125.9765625,127.44140625,128.90625,130.37109375,131.8359375,133.30078125,134.765625,136.23046875,137.6953125,139.16015625,140.625,142.08984375,143.5546875,145.01953125,146.484375,147.94921875,149.4140625,150.87890625,152.34375,153.80859375,155.2734375,156.73828125,158.203125,159.66796875,161.1328125,162.59765625,164.0625,165.52734375,166.9921875,168.45703125,169.921875,171.38671875,172.8515625,174.31640625,175.78125,177.24609375,178.7109375,180.17578125,181.640625,183.10546875,184.5703125,186.03515625,187.5
