,0
199,-188.69388476255187
200,-187.12176623335017
201,-185.5496477041485
202,-183.9775291749467
203,-182.40541064574492
204,-180.8332921165431
205,-179.26117358734143
206,-177.68905505813973
207,-176.11693652893794
208,-174.54481799973615
209,-172.97269947053437
210,-171.40058094133266
211,-169.82846241213088
212,-168.2563438829292
213,-166.6842253537274
214,-165.1121068245256
215,-163.53998829532392
216,-161.96786976612213
217,-160.39575123692043
218,-158.82363270771864
219,-157.25151417851686
220,-155.67939564931515
221,-154.10727712011337
222,-152.5351585909117
223,-150.9630400617099
224,-149.3909215325081
225,-147.8188030033064
226,-146.24668447410463
227,-144.67456594490292
228,-143.10244741570114
229,-141.53032888649935
230,-139.95821035729756
231,-138.38609182809586
232,-136.81397329889418
233,-135.24185476969237
234,-133.66973624049058
235,-132.0976177112888
236,-130.525499182087
237,-128.95338065288541
238,-127.38126212368363
239,-125.80914359448184
240,-124.23702506528005
241,-122.66490653607825
242,-121.09278800687666
243,-119.52066947767487
244,-117.94855094847308
245,-116.3764324192713
246,-114.8043138900695
247,-113.2321953608679
248,-111.66007683166612
249,-110.08795830246433
250,-108.51583977326253
251,-106.94372124406074
252,-105.37160271485915
253,-103.79948418565736
254,-102.22736565645558
255,-100.65524712725377
256,-99.08312859805199
257,-97.5110100688504
258,-95.93889153964861
259,-94.36677301044682
260,-92.79465448124502
261,-91.22253595204323
262,-89.65041742284164
263,-88.07829889363985
264,-86.50618036443807
265,-84.93406183523626
266,-83.36194330603448
267,-81.78982477683289
268,-80.2177062476311
269,-78.64558771842931
270,-77.07346918922751
271,-75.50135066002572
272,-73.92923213082413
273,-72.35711360162234
274,-70.78499507242056
275,-69.21287654321875
276,-67.64075801401697
277,-66.06863948481538
278,-64.49652095561359
279,-62.924402426411795
280,-61.35228389721001
281,-59.78016536800821
282,-58.208046838806624
283,-56.63592830960483
284,-55.06380978040304
285,-53.49169125120125
286,-51.91957272199946
287,-50.34745419279787
288,-48.775335663596074
289,-47.203217134394286
290,-45.63109860519249
291,-44.0589800759907
292,-42.486861546789115
293,-40.91474301758732
294,-39.34262448838553
295,-37.77050595918374
296,-36.19838742998195
297,-34.62626890078036
298,-33.054150371578565
299,-31.482031842376777
300,-29.909913313174986
301,-28.337794783973195
302,-26.765676254771602
303,-25.19355772556981
304,-23.62143919636802
305,-22.04932066716623
306,-20.47720213796444
307,-18.905083608762848
308,-17.332965079561056
309,-15.760846550359267
310,-14.188728021157475
311,-12.616609491955684
312,-11.044490962754093
313,-9.472372433552103
314,-7.900253904350511
315,-6.32813537514872
316,-4.756016845946929
317,-3.1838983167453376
318,-1.6117797875433475
319,-0.03966125834175585
320,1.532457270860035
321,3.1045758000618258
322,4.676694329263418
323,6.248812858465407
324,7.820931387666999
325,9.39304991686879
326,10.965168446070582
327,12.537286975272172
328,14.109405504474163
329,15.681524033675753
330,17.253642562877545
331,18.825761092079336
332,20.39787962128093
333,21.96999815048292
334,23.542116679684508
335,25.1142352088863
336,26.68635373808809
337,28.258472267289683
338,29.830590796491673
339,31.402709325693262
340,32.974827854895054
341,34.54694638409685
342,36.11906491329844
343,37.691183442500424
344,39.26330197170202
345,40.83542050090381
346,42.4075390301056
347,43.97965755930719
348,45.55177608850918
349,47.123894617710775
350,48.69601314691256
351,50.26813167611436
352,51.84025020531595
353,53.41236873451794
354,54.98448726371953
355,56.55660579292132
356,58.12872432212311
357,59.7008428513247
358,61.272961380526695
359,62.845079909728284
360,64.41719843893007
361,65.98931696813186
362,67.56143549733346
