,0,1,2,3,4
0,"[5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100]","[76.         80.         76.         65.41823679 64.48378877 52.58688082
 44.16838014 44.09296666 34.84764195 34.4102217  33.83801187 31.38372623
 30.54130754 26.01038061 24.68461849 25.13419759 24.65670213 24.42971684
 34.70279057 37.72283642]","[76.         80.         76.         64.17816763 66.28797688 53.68860859
 43.22452369 43.54306318 37.89492065 34.40046385 34.61807963 35.71432114
 34.75078377 25.64206743 26.71999252 24.6686997  26.5451912  25.23536601
 34.75564717 37.56933441]","[76.         80.         76.         64.56488904 64.54126401 52.85945837
 44.47320512 43.58588174 33.78126709 34.41695625 33.410142   31.53310175
 30.0032298  25.80021399 24.54519616 25.24376654 23.92566664 24.05092999
 34.63062505 37.20089369]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1,"[5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80]","[76.         80.         80.         58.24089247 59.95333238 49.0362451
 44.30130993 44.28271271 35.16802015 36.55270654 32.12515824 39.21491917
 39.69562009 37.51729838 32.94673594 30.87244325]","[76.         80.         80.         59.12300969 47.37404869 51.7787257
 46.79900154 46.70856147 39.95136226 41.73838858 32.03289223 39.73990706
 41.62149049 37.60631517 33.98963895 30.39661774]","[76.         80.         80.         58.24301269 60.62009613 48.77066302
 44.62833087 44.99879417 35.71929608 36.41063482 28.79917201 41.02380662
 40.67242555 38.2690512  34.17746696 30.29579657]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2,"[5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100]","[80.         76.         64.2577247  52.3053665  44.32042256 39.06541574
 46.15838522 44.45572732 33.80160425 16.09658047 42.51038547 50.13371254
 34.83830959 26.80398518 26.55212397 21.66986869 14.44621273 23.5853414
 33.76844868 44.06126338]","[80.         76.         64.77810637 55.28432541 48.53991242 43.91820944
 46.86868781 41.37780801 37.39237857 36.31246844 39.945622   49.82870123
 41.07747916 34.22183857 31.98265263 28.7246839  26.94564651 28.75375355
 17.43692058 47.7343759 ]","[80.         76.         62.90582876 52.37374357 42.29782622 39.83092684
 45.36272274 43.52807065 29.86680407 26.54627767 39.85781458 48.96375172
 34.31275731 26.0940041  22.09590716 25.45176133 19.68694457 22.5744543
 30.82061427 44.04279598]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
3,"[5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 100, 105]","[74.17897548 70.57710383 61.60550179 37.66720318 38.02227973 32.21580262
 37.64148635 41.60998641 30.1160057  33.31019156 32.55867806 38.52406384
 39.85311694 32.25567989 32.85225663 33.99102316 28.17819235 38.58533017
 38.33925562 47.04569753]","[75.68728506 68.97171271 60.47650658 40.24486681 40.01689032 32.13002217
 38.85512487 38.38399296 28.09731794 23.1688519  31.63100305 31.9139763
 34.64267056 30.42211059 32.05194263 36.70419992 31.05703766 39.69083466
 38.51549167 45.40997502]","[73.44021    70.01415999 61.01620425 36.4857032  37.2932202  32.35243594
 37.13855362 41.27804229 28.94259104 30.99442607 30.01411797 37.51653011
 37.31005604 29.97595766 31.11836848 32.19205914 28.25650107 37.48131224
 38.45965588 46.59651092]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
