,0
0,-231.97736621324455
1,-230.47834492330207
2,-228.97932363335957
3,-227.48030234341698
4,-225.9812810534745
5,-224.482259763532
6,-222.98323847358952
7,-221.48421718364702
8,-219.98519589370443
9,-218.48617460376195
10,-216.98715331381945
11,-215.48813202387697
12,-213.98911073393447
13,-212.49008944399188
14,-210.9910681540494
15,-209.4920468641069
16,-207.99302557416442
17,-206.49400428422192
18,-204.99498299427933
19,-203.49596170433685
20,-201.99694041439434
21,-200.49791912445187
22,-198.99889783450936
23,-197.49987654456677
24,-196.0008552546243
25,-194.5018339646818
26,-193.00281267473932
27,-191.5037913847967
28,-190.00477009485422
29,-188.50574880491172
30,-187.00672751496924
31,-185.50770622502677
32,-184.00868493508415
33,-182.50966364514167
34,-181.01064235519917
35,-179.5116210652567
36,-178.01259977531421
37,-176.5135784853716
38,-175.01455719542912
39,-173.51553590548662
40,-172.01651461554414
41,-170.51749332560163
42,-169.01847203565904
43,-167.51945074571657
44,-166.02042945577406
45,-164.5214081658316
46,-163.02238687588908
47,-161.5233655859465
48,-160.02434429600402
49,-158.5253230060615
50,-157.02630171611904
51,-155.52728042617645
52,-154.02825913623394
53,-152.52923784629147
54,-151.03021655634896
55,-149.53119526640648
56,-148.0321739764639
57,-146.5331526865214
58,-145.0341313965789
59,-143.5351101066364
60,-142.03608881669393
61,-140.53706752675134
62,-139.03804623680884
63,-137.53902494686636
64,-136.04000365692386
65,-134.54098236698138
66,-133.0419610770388
67,-131.5429397870963
68,-130.0439184971538
69,-128.5448972072113
70,-127.04587591726883
71,-125.54685462732624
72,-124.04783333738375
73,-122.54881204744126
74,-121.04979075749877
75,-119.55076946755628
76,-118.05174817761367
77,-116.5527268876712
78,-115.05370559772871
79,-113.55468430778622
80,-112.05566301784373
81,-110.55664172790112
82,-109.05762043795863
83,-107.55859914801616
84,-106.05957785807367
85,-104.56055656813118
86,-103.06153527818857
87,-101.56251398824608
88,-100.06349269830359
89,-98.56447140836111
90,-97.06545011841862
91,-95.56642882847602
92,-94.06740753853353
93,-92.56838624859104
94,-91.06936495864855
